ID , x , y , r , b
1 , 379 , 61 , 5 , 50
2 , 455 , 409 , 5 , 93
3 , 559 , 483 , 5 , 86
4 , 599 , 25 , 4 , 35
5 , 325 , 327 , 4 , 108
6 , 427 , 375 , 4 , 101
7 , 443 , 341 , 4 , 93
8 , 441 , 173 , 3 , 77
9 , 483 , 243 , 3 , 78
10 , 517 , 13 , 3 , 28
11 , 265 , 151 , 5 , 80
12 , 373 , 305 , 5 , 103
13 , 479 , 445 , 5 , 92
14 , 59 , 485 , 5 , 95
15 , 293 , 207 , 5 , 92
16 , 255 , 525 , 3 , 98
