ID , x , y , r , b
1 , 449 , 309 , 4 , 30
2 , 595 , 35 , 3 , 18
3 , 151 , 227 , 5 , 25
4 , 39 , 107 , 5 , 26
5 , 233 , 67 , 5 , 33
6 , 387 , 67 , 5 , 25
7 , 545 , 187 , 5 , 30
8 , 181 , 583 , 5 , 31
9 , 239 , 415 , 5 , 34
10 , 395 , 533 , 4 , 35
11 , 359 , 439 , 3 , 57
12 , 225 , 593 , 5 , 36
13 , 545 , 161 , 5 , 28
14 , 333 , 275 , 2 , 204
15 , 135 , 185 , 5 , 25
16 , 409 , 11 , 5 , 28
17 , 469 , 377 , 5 , 25
18 , 473 , 319 , 5 , 35
19 , 497 , 451 , 3 , 25
20 , 221 , 357 , 3 , 35
21 , 285 , 217 , 3 , 203
22 , 527 , 457 , 2 , 37
23 , 143 , 129 , 5 , 32
24 , 297 , 517 , 5 , 31
25 , 571 , 579 , 5 , 30
26 , 35 , 249 , 4 , 26
27 , 39 , 391 , 4 , 30
28 , 99 , 91 , 4 , 25
29 , 115 , 499 , 4 , 31
30 , 129 , 433 , 4 , 27
31 , 135 , 587 , 4 , 26
32 , 203 , 37 , 4 , 33
33 , 217 , 559 , 4 , 38
34 , 263 , 171 , 4 , 30
35 , 269 , 433 , 4 , 26
36 , 275 , 291 , 4 , 25
37 , 313 , 277 , 4 , 25
38 , 347 , 25 , 4 , 32
39 , 353 , 87 , 4 , 32
40 , 387 , 555 , 4 , 26
41 , 389 , 173 , 4 , 25
42 , 461 , 239 , 4 , 29
43 , 501 , 331 , 4 , 28
44 , 537 , 295 , 4 , 29
45 , 557 , 255 , 4 , 30
46 , 253 , 267 , 3 , 57
47 , 25 , 437 , 5 , 28
48 , 49 , 3 , 5 , 26
49 , 57 , 229 , 5 , 26
50 , 57 , 521 , 5 , 28
51 , 69 , 561 , 5 , 28
52 , 71 , 381 , 5 , 25
53 , 75 , 421 , 5 , 26
54 , 93 , 369 , 5 , 25
55 , 103 , 321 , 5 , 25
56 , 133 , 239 , 5 , 26
57 , 143 , 27 , 5 , 25
58 , 147 , 489 , 5 , 25
59 , 161 , 367 , 5 , 25
60 , 163 , 183 , 5 , 25
61 , 179 , 159 , 5 , 25
62 , 189 , 105 , 5 , 25
63 , 199 , 79 , 5 , 25
64 , 199 , 309 , 5 , 25
65 , 223 , 135 , 5 , 25
66 , 241 , 107 , 5 , 26
67 , 259 , 195 , 5 , 25
68 , 267 , 15 , 5 , 25
69 , 273 , 593 , 5 , 25
70 , 315 , 357 , 5 , 25
71 , 327 , 327 , 5 , 31
72 , 369 , 465 , 5 , 25
73 , 373 , 143 , 5 , 25
74 , 383 , 289 , 5 , 25
75 , 397 , 409 , 5 , 25
76 , 403 , 99 , 5 , 25
77 , 405 , 129 , 5 , 25
78 , 409 , 567 , 5 , 25
79 , 449 , 117 , 5 , 25
80 , 451 , 511 , 5 , 25
81 , 489 , 197 , 5 , 25
82 , 503 , 571 , 5 , 39
83 , 543 , 477 , 5 , 29
84 , 561 , 81 , 5 , 25
85 , 9 , 97 , 4 , 27
86 , 565 , 309 , 4 , 28
87 , 11 , 579 , 4 , 30
88 , 19 , 207 , 4 , 27
89 , 63 , 105 , 4 , 26
90 , 109 , 225 , 4 , 25
91 , 217 , 277 , 4 , 26
92 , 285 , 189 , 4 , 25
93 , 323 , 99 , 4 , 25
94 , 407 , 517 , 4 , 25
95 , 409 , 479 , 4 , 38
96 , 555 , 29 , 4 , 28
97 , 591 , 455 , 4 , 25
98 , 119 , 451 , 3 , 26
99 , 147 , 539 , 3 , 26
100 , 241 , 349 , 3 , 25
101 , 251 , 527 , 3 , 25
102 , 287 , 499 , 3 , 28
103 , 521 , 535 , 3 , 26
104 , 567 , 179 , 3 , 25
105 , 215 , 165 , 2 , 73
106 , 317 , 27 , 2 , 179
107 , 345 , 389 , 2 , 254
108 , 13 , 149 , 5 , 27
109 , 189 , 191 , 5 , 29
110 , 361 , 311 , 5 , 25
111 , 405 , 441 , 5 , 25
112 , 497 , 419 , 5 , 25
113 , 47 , 457 , 5 , 28
114 , 159 , 271 , 5 , 25
115 , 161 , 303 , 5 , 25
116 , 363 , 125 , 5 , 33
117 , 29 , 75 , 4 , 27
118 , 41 , 421 , 4 , 29
119 , 55 , 581 , 4 , 28
120 , 105 , 555 , 4 , 32
121 , 413 , 219 , 4 , 25
122 , 499 , 241 , 4 , 25
123 , 93 , 475 , 3 , 26
124 , 365 , 223 , 3 , 35
125 , 85 , 513 , 2 , 255
126 , 7 , 121 , 5 , 28
127 , 435 , 49 , 5 , 29
128 , 439 , 279 , 4 , 28
129 , 183 , 441 , 3 , 25
130 , 201 , 537 , 3 , 28
131 , 435 , 537 , 3 , 34
132 , 587 , 177 , 5 , 25
133 , 213 , 257 , 4 , 25
134 , 539 , 13 , 3 , 25
135 , 123 , 409 , 2 , 72
136 , 493 , 53 , 2 , 39
137 , 557 , 135 , 2 , 84
