source , destination
(477, 499) , (477, 499)
(463, 217) , (463, 217)
(449, 577) , (449, 577)
(377, 341) , (377, 341)
(93, 235) , (93, 235)
(219, 485) , (219, 485)
(109, 317) , (109, 317)
(31, 593) , (31, 593)
(355, 3) , (355, 3)
(167, 229) , (167, 229)
(55, 481) , (55, 481)
(179, 523) , (179, 523)

Matching Ratio: 1.0000
